id,blue,blue_no,yellow,yellow_no,orange,orange_no,red,red_no,set
105,Murder Crows,2,Murder Crows,3,Murder Crows,4,Murder Crows,5,Murder Crows
106,Murder Crows,2,Murder Crows,3,Murder Crows,4,Murder Crows,5,Murder Crows
107,Murder Crows,2,Murder Crows,3,Murder Crows,4,Murder Crows,5,Murder Crows
108,Murder Crows,2,Murder Crows,3,Murder Crows,4,Murder Crows,5,Murder Crows
109,Murder Crows,2,Murder Crows,3,Murder Crows,4,Murder Crows,5,Murder Crows
110,Murder Crows,2,Murder Crows,3,Murder Crows,4,Murder Crows,5,Murder Crows
111,Murder Crows,2,Murder Crows,3,Murder Crows,4,Murder Crows,5,Murder Crows
112,Murder Crows,2,Murder Crows,3,Murder Crows,4,Murder Crows,5,Murder Crows
113,Murder Crows,2,Murder Crows,3,Murder Crows,4,Murder Crows,5,Murder Crows
114,Murder Crows,2,Murder Crows,3,Murder Crows,4,Murder Crows,5,Murder Crows
115,Murder Crows,2,Murder Crows,3,Murder Crows,4,Murder Crows,5,Murder Crows
116,Murder Crows,2,Murder Crows,3,Murder Crows,4,Murder Crows,5,Murder Crows
