id,blue,blue_no,yellow,yellow_no,orange,orange_no,red,red_no,set
221,Nothing,1,Necromantic Dragon,1,Necromantic Dragon,1,Necromantic Dragon,1,No Rest for the Wicked
222,Nothing,1,Necromantic Dragon,1,Necromantic Dragon,1,Necromantic Dragon,1,No Rest for the Wicked
223,Nothing,1,Necromantic Dragon,1,Necromantic Dragon,1,Necromantic Dragon,1,No Rest for the Wicked
224,Nothing,1,Necromantic Dragon,1,Necromantic Dragon,1,Necromantic Dragon,1,No Rest for the Wicked
225,Nothing,1,Necromantic Dragon,1,Necromantic Dragon,1,Necromantic Dragon,1,No Rest for the Wicked
226,Nothing,1,Necromantic Dragon,1,Necromantic Dragon,1,Necromantic Dragon,1,No Rest for the Wicked
227,Nothing,1,Necromantic Dragon,1,Necromantic Dragon,1,Necromantic Dragon,1,No Rest for the Wicked
228,Nothing,1,Necromantic Dragon,1,Necromantic Dragon,1,Necromantic Dragon,1,No Rest for the Wicked
229,Spectral Walker,1,Spectral Walker,1,Spectral Walker,5,Spectral Walker,2,No Rest for the Wicked
230,Spectral Walker,2,Spectral Walker,1,Spectral Walker,1,Spectral Walker,3,No Rest for the Wicked
231,Spectral Walker,2,Spectral Walker,1,Spectral Walker,1,Spectral Walker,6,No Rest for the Wicked
232,Spectral Walker,1,Spectral Walker,3,Spectral Walker,2,Spectral Walker,1,No Rest for the Wicked
233,Spectral Walker,1,Spectral Walker,2,Spectral Walker,3,Spectral Walker,6,No Rest for the Wicked
234,Spectral Walker,1,Spectral Walker,1,Spectral Walker,4,Spectral Walker,5,No Rest for the Wicked
235,Spectral Walker,1,Spectral Walker,4,Spectral Walker,2,Spectral Walker,3,No Rest for the Wicked
236,Spectral Walker,1,Spectral Walker,1,Spectral Walker,6,Spectral Walker,2,No Rest for the Wicked
237,Spectral Walker,1,Spectral Walker,2,Spectral Walker,2,Spectral Walker,8,No Rest for the Wicked
238,Spectral Walker,1,Spectral Walker,2,Spectral Walker,2,Spectral Walker,7,No Rest for the Wicked
239,Spectral Walker,1,Spectral Walker,4,Spectral Walker,4,Spectral Walker,3,No Rest for the Wicked
240,Spectral Walker,1,Spectral Walker,3,Spectral Walker,5,Spectral Walker,3,No Rest for the Wicked
241,Swarm of Ratz,2,Swarm of Ratz,3,Swarm of Ratz,4,Swarm of Ratz,5,No Rest for the Wicked
242,Swarm of Ratz,2,Swarm of Ratz,3,Swarm of Ratz,4,Swarm of Ratz,5,No Rest for the Wicked
243,Swarm of Ratz,2,Swarm of Ratz,3,Swarm of Ratz,4,Swarm of Ratz,5,No Rest for the Wicked
244,Swarm of Ratz,2,Swarm of Ratz,3,Swarm of Ratz,4,Swarm of Ratz,5,No Rest for the Wicked
245,Swarm of Ratz,2,Swarm of Ratz,3,Swarm of Ratz,4,Swarm of Ratz,5,No Rest for the Wicked
246,Swarm of Ratz,2,Swarm of Ratz,3,Swarm of Ratz,4,Swarm of Ratz,5,No Rest for the Wicked
247,Swarm of Ratz,2,Swarm of Ratz,3,Swarm of Ratz,4,Swarm of Ratz,5,No Rest for the Wicked
248,Swarm of Ratz,2,Swarm of Ratz,3,Swarm of Ratz,4,Swarm of Ratz,5,No Rest for the Wicked
249,Swarm of Ratz,2,Swarm of Ratz,3,Swarm of Ratz,4,Swarm of Ratz,5,No Rest for the Wicked
250,Swarm of Ratz,2,Swarm of Ratz,3,Swarm of Ratz,4,Swarm of Ratz,5,No Rest for the Wicked
251,Swarm of Ratz,2,Swarm of Ratz,3,Swarm of Ratz,4,Swarm of Ratz,5,No Rest for the Wicked
252,Swarm of Ratz,2,Swarm of Ratz,3,Swarm of Ratz,4,Swarm of Ratz,5,No Rest for the Wicked
