ID,Blue,Blue #,Threat,Yellow,Yellow #,Threat,Amber,Amber #,Threat,Red,Red #,Threat,Average Threat,Type,Included/Excluded?,Card Included With
1,Nothing,1,0,Runner,2,4,Walker,5,5,Fatty,2,4,3.25,Standard Zombies,Excluded,Core Box Set
2,Nothing,1,0,Fatty,2,4,Walker,5,5,Walker,5,5,3.5,Standard Zombies,Excluded,Core Box Set
3,Nothing,1,0,Walker,4,4,Runner,3,6,Runner,2,4,3.5,Standard Zombies,Excluded,Core Box Set
4,Walker,1,1,Runner,1,2,Fatty,3,6,Fatty,3,6,3.75,Standard Zombies,Excluded,Core Box Set
5,Walker,1,1,Fatty,1,2,Walker,4,4,Walker,5,5,3,Standard Zombies,Excluded,Core Box Set
6,Walker,1,1,Walker,2,2,Runner,1,2,Runner,3,6,2.75,Standard Zombies,Excluded,Core Box Set
7,Walker,2,2,Runner,1,2,Fatty,1,2,Fatty,3,6,3,Standard Zombies,Excluded,Core Box Set
8,Walker,3,3,Fatty,1,2,Walker,4,4,Walker,6,6,3.75,Standard Zombies,Excluded,Core Box Set
9,Fatty,1,2,Walker,2,2,Runner,2,4,Runner,3,6,3.5,Standard Zombies,Excluded,Core Box Set
10,Fatty,1,2,Walker,2,2,Fatty,2,4,Walker,5,5,3.25,Standard Zombies,Excluded,Core Box Set
11,Runner,1,2,Walker,3,3,Walker,3,3,Walker,6,6,3.5,Standard Zombies,Excluded,Core Box Set
12,Runner,1,2,Walker,3,3,Walker,3,3,Walker,5,5,3.25,Standard Zombies,Excluded,Core Box Set
13,Abomination,1,10,Runner,1,2,Walker,5,5,Fatty,2,4,5.25,Standard Zombies,Excluded,Core Box Set
14,Walker,2,2,Abomination,1,10,Fatty,1,2,Runner,3,6,5,Standard Zombies,Excluded,Core Box Set
15,Walker,2,2,Fatty,1,2,Abomination,1,10,Walker,6,6,5,Standard Zombies,Excluded,Core Box Set
16,Walker,1,1,Walker,3,3,Runner,2,4,Abomination,1,10,4.5,Standard Zombies,Excluded,Core Box Set
17,Walker,1,1,Runner,2,4,Fatty,3,6,Walker,6,6,4.25,Standard Zombies,Excluded,Core Box Set
18,Runner,1,2,Fatty,1,2,Walker,4,4,Walker,5,5,3.25,Standard Zombies,Excluded,Core Box Set
19,Walker,1,1,Walker,4,4,Runner,2,4,Fatty,3,6,3.75,Standard Zombies,Excluded,Core Box Set
20,Fatty,1,2,Runner,1,2,Walker,6,6,Runner,2,4,3.5,Standard Zombies,Excluded,Core Box Set
21,Walker,1,1,Fatty,2,4,Runner,2,4,Walker,8,8,4.25,Standard Zombies,Excluded,Core Box Set
22,Fatty,1,2,Walker,2,2,Fatty,2,4,Walker,7,7,3.75,Standard Zombies,Excluded,Core Box Set
23,Runner,1,2,Walker,4,4,Walker,4,4,Fatty,3,6,4,Standard Zombies,Excluded,Core Box Set
24,Fatty,1,2,Walker,3,3,Walker,5,5,Runner,3,6,4,Standard Zombies,Excluded,Core Box Set
25,Abomination,1,10,Runner,1,2,Walker,5,5,Fatty,2,4,5.25,Standard Zombies,Excluded,Core Box Set
